Date,Open,High,Low,Close,Adj Close,Volume
2023-02-10,6775.000000,6900.000000,6700.000000,6900.000000,6375.078613,6431600
2023-02-13,6850.000000,6875.000000,6725.000000,6725.000000,6213.391113,5797100
2023-02-14,6725.000000,6800.000000,6700.000000,6750.000000,6236.489746,4590400
2023-02-15,6700.000000,6750.000000,6600.000000,6675.000000,6167.195313,7480200
2023-02-16,6675.000000,6675.000000,6600.000000,6600.000000,6097.900879,5561500
2023-02-17,6600.000000,6600.000000,6500.000000,6600.000000,6097.900879,11153200
2023-02-20,6550.000000,6625.000000,6550.000000,6625.000000,6120.999023,4762600
2023-02-21,6600.000000,6625.000000,6525.000000,6525.000000,6028.606445,6341600
2023-02-22,6525.000000,6600.000000,6525.000000,6600.000000,6097.900879,2984600
2023-02-23,6600.000000,6625.000000,6550.000000,6575.000000,6074.802734,4014800
2023-02-24,6575.000000,6625.000000,6550.000000,6575.000000,6074.802734,2435400
2023-02-27,6575.000000,6600.000000,6525.000000,6600.000000,6097.900879,6349700
2023-02-28,6600.000000,6600.000000,6475.000000,6475.000000,5982.410645,15811400
2023-03-01,6475.000000,6500.000000,6275.000000,6275.000000,5797.625488,14766000
2023-03-02,6300.000000,6350.000000,6250.000000,6250.000000,5774.527344,9675100
2023-03-03,6250.000000,6325.000000,6250.000000,6275.000000,5797.625488,7910700
2023-03-06,6300.000000,6325.000000,6250.000000,6250.000000,5774.527344,5126200
2023-03-07,6250.000000,6325.000000,6200.000000,6250.000000,5774.527344,8384500
2023-03-08,6250.000000,6275.000000,6150.000000,6150.000000,5682.135254,9222400
2023-03-09,6175.000000,6250.000000,6150.000000,6150.000000,5682.135254,5789000
2023-03-10,6150.000000,6200.000000,6100.000000,6125.000000,5659.037109,5466400
2023-03-13,6125.000000,6225.000000,6100.000000,6125.000000,5659.037109,5179700
2023-03-14,6150.000000,6225.000000,6125.000000,6175.000000,5705.232910,7033700
2023-03-15,6175.000000,6225.000000,6100.000000,6100.000000,5635.938477,6553100
2023-03-16,6100.000000,6175.000000,6050.000000,6150.000000,5682.135254,3570900
2023-03-17,6150.000000,6225.000000,6100.000000,6125.000000,5659.037109,17695500
2023-03-20,6125.000000,6200.000000,6125.000000,6200.000000,5728.331055,2325300
